reg;region_name;cl_age90;jour;hosp;rea;rad;dc
1;Guadeloupe;59;06/04/2020;2;2;16;0
1;Guadeloupe;69;06/04/2020;13;8;9;1
1;Guadeloupe;79;06/04/2020;9;5;2;4
1;Guadeloupe;89;06/04/2020;9;1;5;3
1;Guadeloupe;90;06/04/2020;0;0;0;0
1;Guadeloupe;0;07/04/2020;34;17;43;8
1;Guadeloupe;9;07/04/2020;0;0;0;0
1;Guadeloupe;19;07/04/2020;0;0;0;0
1;Guadeloupe;29;07/04/2020;0;0;1;0
1;Guadeloupe;39;07/04/2020;1;1;3;0
1;Guadeloupe;49;07/04/2020;3;1;3;0
1;Guadeloupe;59;07/04/2020;2;2;16;0
1;Guadeloupe;69;07/04/2020;12;7;9;1
1;Guadeloupe;79;07/04/2020;9;5;3;4
1;Guadeloupe;89;07/04/2020;7;1;7;3
1;Guadeloupe;90;07/04/2020;0;0;0;0
1;Guadeloupe;0;08/04/2020;33;16;46;10
1;Guadeloupe;9;08/04/2020;0;0;0;0
1;Guadeloupe;19;08/04/2020;0;0;0;0
1;Guadeloupe;29;08/04/2020;0;0;1;0
1;Guadeloupe;39;08/04/2020;1;1;3;0
1;Guadeloupe;49;08/04/2020;2;1;4;0
1;Guadeloupe;59;08/04/2020;3;2;16;1
1;Guadeloupe;69;08/04/2020;11;5;10;2
1;Guadeloupe;79;08/04/2020;8;5;4;4
1;Guadeloupe;89;08/04/2020;8;2;7;3
1;Guadeloupe;90;08/04/2020;0;0;0;0
1;Guadeloupe;0;09/04/2020;33;17;49;10
1;Guadeloupe;9;09/04/2020;0;0;0;0
1;Guadeloupe;19;09/04/2020;0;0;0;0
1;Guadeloupe;29;09/04/2020;0;0;1;0
1;Guadeloupe;39;09/04/2020;1;1;3;0
1;Guadeloupe;49;09/04/2020;3;2;4;0
1;Guadeloupe;59;09/04/2020;4;2;16;1
1;Guadeloupe;69;09/04/2020;10;5;11;2
1;Guadeloupe;79;09/04/2020;8;6;5;4
1;Guadeloupe;89;09/04/2020;7;1;8;3
1;Guadeloupe;90;09/04/2020;0;0;0;0
1;Guadeloupe;0;10/04/2020;33;19;50;10
1;Guadeloupe;9;10/04/2020;0;0;0;0
1;Guadeloupe;19;10/04/2020;0;0;0;0
1;Guadeloupe;29;10/04/2020;0;0;1;0
1;Guadeloupe;39;10/04/2020;1;1;3;0
1;Guadeloupe;49;10/04/2020;3;3;4;0
1;Guadeloupe;59;10/04/2020;4;2;16;1
1;Guadeloupe;69;10/04/2020;8;4;13;2
1;Guadeloupe;79;10/04/2020;9;7;5;4
1;Guadeloupe;89;10/04/2020;8;2;7;3
1;Guadeloupe;90;10/04/2020;0;0;0;0
1;Guadeloupe;0;11/04/2020;37;20;50;10
1;Guadeloupe;9;11/04/2020;0;0;0;0
1;Guadeloupe;19;11/04/2020;0;0;0;0
1;Guadeloupe;29;11/04/2020;0;0;1;0
1;Guadeloupe;39;11/04/2020;1;1;3;0
1;Guadeloupe;49;11/04/2020;3;3;4;0
1;Guadeloupe;59;11/04/2020;6;3;16;1
1;Guadeloupe;69;11/04/2020;8;4;13;2
1;Guadeloupe;79;11/04/2020;10;7;5;4
1;Guadeloupe;89;11/04/2020;9;2;7;3
1;Guadeloupe;90;11/04/2020;0;0;0;0
1;Guadeloupe;0;12/04/2020;38;19;51;10
1;Guadeloupe;9;12/04/2020;0;0;0;0
1;Guadeloupe;19;12/04/2020;1;0;0;0
1;Guadeloupe;29;12/04/2020;0;0;1;0
1;Guadeloupe;39;12/04/2020;1;1;3;0
1;Guadeloupe;49;12/04/2020;3;2;4;0
1;Guadeloupe;59;12/04/2020;6;3;16;1
1;Guadeloupe;69;12/04/2020;8;4;14;2
1;Guadeloupe;79;12/04/2020;10;7;5;4
1;Guadeloupe;89;12/04/2020;9;2;7;3
1;Guadeloupe;90;12/04/2020;0;0;0;0
1;Guadeloupe;0;13/04/2020;41;18;51;10
1;Guadeloupe;9;13/04/2020;0;0;0;0
1;Guadeloupe;19;13/04/2020;1;0;0;0
1;Guadeloupe;29;13/04/2020;0;0;1;0
1;Guadeloupe;39;13/04/2020;1;0;3;0
1;Guadeloupe;49;13/04/2020;3;2;4;0
1;Guadeloupe;59;13/04/2020;6;3;16;1
1;Guadeloupe;69;13/04/2020;9;4;14;2
1;Guadeloupe;79;13/04/2020;11;7;5;4
1;Guadeloupe;89;13/04/2020;10;2;7;3
